"study.hrs.perwk","attendance.rate","previous.grades","extracurricular.activities","parent.edu.level","passed"
12.2,63,80.5,"No","Master","No"
10.2,67.2,45.8,"Yes","Doctorate","No"
13.7,72.8,57,"Yes","Master","Yes"
9.2,82.3,82.7,"Yes","Bachelor","Yes"
11.1,84.6,61.4,"Yes","Bachelor","Yes"
7.8,97.3,88.4,"Yes","Bachelor","Yes"
13.9,80.2,71.7,"Yes","Master","Yes"
9.4,79.6,64.5,"No","Master","Yes"
11.1,58.3,51.3,"No","Associate","No"
9.9,54.5,97.8,"Yes","Associate","Yes"
6.7,69.7,61.4,"Yes","Associate","No"
6.6,64.9,66.2,"Yes","High School","Yes"
7,55.8,64.2,"No","High School","No"
12.5,73.6,91.7,"Yes","High School","No"
12.5,63.7,69.3,"Yes","Doctorate","Yes"
8.4,90.6,71.8,"Yes","Doctorate","Yes"
4.1,88,62.4,"No","Bachelor","No"
1.3,81.9,80.8,"No","Associate","No"
8.5,70.7,67.7,"No","High School","No"
16.4,90.6,57.1,"No","Bachelor","No"
13.7,97.5,49.5,"Yes","High School","Yes"
16.1,72.3,70.6,"Yes","Master","No"
8.2,82.4,58.7,"Yes","Associate","Yes"
10.4,98.5,75.2,"No","Bachelor","Yes"
4.9,74,75.5,"No","Associate","Yes"
6.4,67.5,64.7,"No","Doctorate","No"
8.5,50.8,58.9,"No","Doctorate","Yes"
10.7,39.3,96.6,"Yes","Doctorate","No"
10.1,99.6,69.8,"No","High School","No"
14.7,86,31.3,"Yes","Doctorate","Yes"
9.1,84.4,62.5,"No","Doctorate","Yes"
9.6,69.7,79.8,"Yes","Bachelor","Yes"
8.1,86.1,69.1,"Yes","Doctorate","Yes"
9.2,46.7,63.8,"Yes","Bachelor","No"
6.1,76.3,65.8,"Yes","High School","Yes"
8.4,62.2,89.4,"No","Associate","No"
8.2,46.3,51.8,"No","Master","No"
14.1,83.2,74.4,"No","Master","Yes"
2,83.6,62.7,"Yes","Associate","No"
16.6,46.9,32.8,"Yes","Master","No"
4.3,81.7,50.5,"No","Associate","Yes"
13.7,61.1,62.2,"No","Bachelor","No"
5,79.5,65.2,"Yes","Bachelor","Yes"
16.6,48.4,77.1,"No","High School","No"
21,99.6,63.6,"No","High School","Yes"
1.6,35.1,56.9,"Yes","Associate","Yes"
4.6,58.8,52.8,"Yes","High School","No"
13.9,53.4,62.7,"No","Associate","No"
12.6,82.6,67.7,"Yes","Master","Yes"
7.1,71.3,75.2,"Yes","Bachelor","No"
3.9,70.4,45,"No","Bachelor","Yes"
8.7,48.9,59.1,"Yes","Associate","Yes"
4,38.4,59.7,"No","High School","No"
18,87.5,86.5,"No","Associate","No"
6.7,50.2,51.9,"No","Master","No"
6.9,92.7,75.4,"No","Doctorate","Yes"
16.5,28,71.6,"Yes","Bachelor","No"
14,90.1,93.4,"No","Master","Yes"
16.1,59.3,54.4,"No","Doctorate","No"
5.5,70.7,52.6,"Yes","Doctorate","Yes"
4.5,73.3,57.7,"Yes","Bachelor","No"
11.2,65.6,41.9,"No","Bachelor","Yes"
6.5,61.3,87.3,"No","Bachelor","No"
2.1,83.1,66,"No","Bachelor","Yes"
10.2,45.1,56.6,"Yes","Doctorate","No"
3.5,95.6,72.7,"Yes","High School","No"
4.9,94.9,59.2,"Yes","Doctorate","Yes"
15,61.7,65,"No","Doctorate","Yes"
16.9,45.4,50.2,"Yes","Associate","No"
11.5,98.3,81.7,"Yes","Associate","Yes"
13.5,69.7,53.7,"Yes","Bachelor","Yes"
9.4,71.4,75.8,"No","Master","No"
6.9,73.7,50,"No","Bachelor","Yes"
15.5,57,47.8,"Yes","Master","Yes"
4.3,25.6,58.1,"No","High School","Yes"
8.5,97.2,80.4,"Yes","Associate","Yes"
16.2,68.4,76.6,"Yes","Master","No"
11.6,68.4,56.2,"Yes","Doctorate","No"
4.1,98.9,58.2,"Yes","Doctorate","No"
14.7,40.4,76.7,"No","Bachelor","Yes"
7.1,65.7,54.2,"No","Bachelor","Yes"
7.5,52.3,59.6,"No","Master","No"
14.8,70.5,66.5,"Yes","Associate","Yes"
4.8,73.2,57.6,"No","Master","No"
10.2,82.4,70.4,"Yes","Master","No"
10,66,81.2,"No","Bachelor","Yes"
7.4,90.6,56.3,"Yes","High School","Yes"
12.4,87.3,63.6,"No","High School","Yes"
6.7,48.2,85.2,"No","Associate","Yes"
14.8,50.4,59,"No","Bachelor","Yes"
8.9,68.7,84.9,"No","High School","Yes"
4.7,69.3,57.7,"Yes","Bachelor","Yes"
7.9,72,90.6,"Yes","Bachelor","Yes"
15,73.2,62.9,"No","Master","No"
8.2,72.4,79.2,"No","Master","No"
17.1,77.9,74.7,"No","Master","No"
12.5,87.4,61.6,"Yes","High School","Yes"
18.3,48.1,71.4,"Yes","Bachelor","No"
16.3,53.5,61.4,"No","Doctorate","No"
5.6,90.7,44.1,"No","High School","Yes"
17.6,71.7,77,"Yes","Master","No"
14.9,79,81,"Yes","High School","Yes"
5.8,65.3,50.3,"Yes","High School","No"
1.7,46.7,64.6,"No","Doctorate","No"
8.6,80.2,47,"Yes","Associate","Yes"
3.8,74.8,75.7,"No","Master","Yes"
7.5,80.5,43.5,"No","Master","Yes"
18.1,63.8,40,"No","Master","Yes"
15.5,94.3,83.4,"No","Master","No"
10.2,73.5,49.5,"No","High School","Yes"
12.2,66.8,68.2,"No","Associate","Yes"
11,97,43.8,"No","Doctorate","No"
7.9,94.1,68.8,"No","Doctorate","Yes"
19.8,83.3,66.6,"No","Bachelor","Yes"
17.8,73.2,67.7,"Yes","Bachelor","No"
12.4,67.9,70.5,"Yes","Doctorate","No"
8.3,83,55.7,"Yes","Associate","No"
6,71.5,62.3,"Yes","Master","Yes"
6.3,80.1,65.6,"No","High School","Yes"
7.2,59.1,62.3,"Yes","Bachelor","Yes"
19,86.7,66.4,"No","Master","Yes"
13.7,82.8,44.3,"No","Doctorate","No"
8.8,58.6,63.2,"Yes","High School","Yes"
0.8,83.7,62.4,"No","High School","No"
11.4,84.2,41.6,"No","Doctorate","No"
9.8,29.5,75.5,"No","Master","Yes"
9.6,65.2,67.6,"No","Doctorate","Yes"
12.8,47.6,67.8,"No","High School","No"
11.4,99.7,82.8,"Yes","Doctorate","Yes"
11.5,65.4,44.8,"Yes","Bachelor","Yes"
8.8,46.2,80.1,"Yes","Bachelor","Yes"
12.1,71.7,43.1,"No","Associate","Yes"
7.1,97.1,89.7,"Yes","Master","Yes"
13.1,90.8,69.4,"Yes","High School","No"
8.4,39.5,64.4,"No","Master","No"
9.8,65.3,71.8,"Yes","Doctorate","Yes"
10.1,67.6,52.5,"No","Doctorate","No"
11.4,87,69.5,"Yes","Bachelor","Yes"
3.6,81.5,74.1,"Yes","Doctorate","Yes"
7.2,35.3,39.3,"Yes","High School","No"
11.7,69,57.3,"No","High School","No"
7,58,66,"No","Doctorate","Yes"
14.1,84.5,44.8,"No","Master","Yes"
16.3,91.5,64.6,"Yes","High School","No"
7.3,25,70.1,"Yes","Associate","No"
13.5,89.9,36.8,"No","High School","Yes"
2.8,45.1,41.8,"No","High School","Yes"
7.9,72.3,39.9,"Yes","Doctorate","Yes"
0.3,73.6,45.6,"No","Associate","Yes"
13.2,91.4,65.7,"No","Bachelor","Yes"
8.3,79.6,47,"Yes","Associate","Yes"
19.7,72.5,76.5,"Yes","Bachelor","No"
5.3,60.3,37.5,"No","High School","No"
20.8,55.1,74.6,"Yes","High School","No"
7.3,26.6,64.4,"Yes","Master","Yes"
8.9,66.8,60.4,"Yes","High School","No"
16.6,90.7,61.5,"Yes","Doctorate","Yes"
9.1,99.5,64.3,"No","High School","No"
8.6,49.1,84.1,"Yes","Bachelor","Yes"
11.9,51.9,83.3,"Yes","Master","No"
6.8,67.3,66.2,"Yes","Bachelor","Yes"
6.2,65.1,61.5,"No","Master","No"
7,93.5,38.7,"Yes","Master","No"
2,96.4,88.5,"No","Bachelor","No"
11.5,52.5,52,"No","Master","Yes"
14.7,76.8,76.9,"Yes","Bachelor","No"
14.4,85.1,32.4,"Yes","Associate","No"
8.8,61.3,71.4,"No","Doctorate","Yes"
10.7,76.1,70.5,"No","High School","No"
7.9,68.8,27.6,"Yes","Master","Yes"
13,80.9,49.5,"Yes","High School","Yes"
0.5,97.9,49.7,"Yes","High School","Yes"
10,45,37.7,"No","Doctorate","No"
10.5,75.5,59.8,"Yes","Associate","Yes"
3,96.7,94.1,"No","Master","No"
10.3,80.6,40.3,"No","Associate","Yes"
3,67.4,80.1,"Yes","Bachelor","No"
1.7,54.9,56,"No","High School","No"
7.8,54.7,41.7,"Yes","Associate","No"
7.6,25.6,61.9,"Yes","Doctorate","No"
5.6,78.3,56.7,"No","Master","No"
6.5,79.6,66.7,"No","High School","Yes"
6.4,69.4,72.7,"No","Master","Yes"
8.1,85.7,98.9,"Yes","Doctorate","Yes"
14.4,90.4,44.4,"Yes","Doctorate","No"
14.2,68.6,50.8,"Yes","Master","Yes"
16.4,55.2,81.8,"Yes","Associate","Yes"
14.2,64.3,39.6,"No","Master","No"
5.6,93.1,58.3,"No","Doctorate","No"
13.5,59.8,78.2,"Yes","Doctorate","Yes"
6.4,79.2,58.4,"No","High School","Yes"
9.8,84.8,48.6,"No","Master","Yes"
11,87.2,78.2,"No","High School","No"
6.6,55.7,61.8,"Yes","Associate","Yes"
12.5,66.1,63.2,"No","Bachelor","No"
11.3,49.6,75.7,"Yes","Associate","No"
7.9,81.1,82.3,"Yes","High School","Yes"
15.6,89.7,61.1,"No","High School","No"
8.3,88.3,57.4,"Yes","High School","Yes"
1.6,86.3,34,"No","High School","Yes"
13.7,60,80.3,"Yes","Master","Yes"
13.9,62.1,83.3,"No","Bachelor","No"
5.6,70.2,44.5,"No","Doctorate","No"
6,81.2,39,"Yes","Master","No"
17.2,68.1,88.3,"Yes","Doctorate","No"
10.6,81.4,76.6,"Yes","Associate","No"
7.4,32.7,67.5,"No","Associate","No"
16.8,94,85.8,"No","Master","No"
6.5,79.3,51.3,"No","Bachelor","Yes"
11.1,79.5,49.9,"No","High School","No"
16.8,98.1,67.3,"Yes","Associate","Yes"
5.8,93.8,56.7,"Yes","Master","No"
14.1,87.1,83.6,"Yes","Bachelor","No"
9.8,74.8,81.5,"No","High School","Yes"
5,63.4,69.8,"No","High School","No"
6.4,55.8,65.8,"Yes","Doctorate","No"
11.4,82.7,89.9,"Yes","Bachelor","No"
10.7,77.8,73.6,"Yes","High School","Yes"
12.7,48.1,50,"Yes","Associate","Yes"
3,76.1,72.5,"No","Bachelor","No"
18.5,81.4,62.2,"Yes","Associate","No"
4.8,81.6,49.7,"Yes","Associate","Yes"
8.4,66.3,71.4,"Yes","Bachelor","No"
9.8,54.1,81.5,"No","Doctorate","No"
11.4,96.5,58.1,"Yes","Bachelor","No"
7.7,88.5,56.9,"Yes","Doctorate","No"
7.1,81.3,51.1,"Yes","Associate","No"
19.6,78.8,64.3,"Yes","Bachelor","No"
17.3,41.8,80,"Yes","Master","No"
12.8,47.8,48.2,"No","Associate","No"
16.6,45.2,50.7,"Yes","Associate","Yes"
14,71.2,87.6,"Yes","High School","No"
2.5,65.1,77.7,"Yes","Master","Yes"
8.7,58.1,57.9,"Yes","High School","Yes"
8.3,59.8,53.6,"No","Master","Yes"
2.6,79.4,62.1,"Yes","Doctorate","No"
12.5,89,75,"Yes","Doctorate","No"
11.6,76.4,63.2,"Yes","Associate","No"
4.2,82.3,62.2,"Yes","Doctorate","No"
15.8,83.5,59.4,"No","High School","Yes"
10.9,98.8,60.8,"No","Master","No"
12.5,36.5,57.9,"No","Master","Yes"
10.5,50.8,46.1,"No","Bachelor","Yes"
11.2,76.3,43.2,"Yes","Bachelor","No"
11.7,77.3,76.8,"Yes","Associate","Yes"
21,79.2,80.9,"Yes","Bachelor","Yes"
6.8,99.8,42.4,"No","Bachelor","No"
10.9,32.5,71.8,"Yes","High School","Yes"
15.3,89.9,47.3,"Yes","Doctorate","No"
11.4,52.7,77.1,"No","High School","Yes"
10.3,67.8,59.3,"No","High School","No"
15.6,73.8,55.6,"No","Associate","Yes"
3.1,87.9,63.6,"Yes","Doctorate","No"
5.9,56.5,91.3,"No","Doctorate","No"
9.5,87.5,75.5,"Yes","Associate","No"
10.5,71.2,63.9,"No","High School","No"
12.2,43.2,51.5,"Yes","Bachelor","Yes"
15,77.5,88.3,"No","Master","No"
5.7,63.5,54.1,"No","High School","No"
9.6,91.8,61.5,"No","Associate","Yes"
12.6,59,32.8,"Yes","High School","Yes"
20.3,86.8,64.1,"Yes","Master","No"
11.9,86.4,56.1,"Yes","Bachelor","Yes"
21.8,72.4,40.5,"No","Associate","Yes"
7.1,92.2,50.9,"Yes","Master","No"
15.2,88.2,65.2,"Yes","Associate","Yes"
10.7,46.5,43.2,"Yes","Associate","No"
5.3,83.7,69.4,"No","Bachelor","No"
14.2,79.6,100,"No","Master","No"
14.8,70.9,70.6,"Yes","Master","No"
4.3,89,61.5,"Yes","Doctorate","No"
11.8,89.1,53.7,"No","Doctorate","No"
7.9,64.3,76.8,"No","Associate","No"
3.7,63.5,65.5,"Yes","Associate","Yes"
9.8,71.5,61.7,"No","Master","No"
16.1,92.7,51.8,"No","Doctorate","Yes"
15.6,99.1,88.4,"No","Master","No"
7.9,70.7,68.9,"No","Bachelor","No"
3.6,97,73.8,"Yes","Doctorate","Yes"
7.7,77.7,73,"Yes","Master","Yes"
9.5,81.6,70.7,"Yes","Master","Yes"
12.2,70.6,50.9,"Yes","Master","No"
1.4,80.2,50.2,"No","Associate","No"
2.1,89.4,38.6,"No","High School","No"
2.8,79.8,67.1,"No","Master","Yes"
7.6,49.2,71.4,"Yes","Associate","No"
12.9,57.3,50.4,"No","High School","No"
1.7,66.4,45.8,"No","Master","No"
10.9,49.1,74.8,"Yes","Bachelor","No"
12.5,80.7,81.8,"Yes","Doctorate","No"
10.4,71.5,53.4,"Yes","Doctorate","Yes"
14.1,46.1,56.2,"Yes","Master","No"
12.4,90,62.4,"Yes","Master","Yes"
15.5,71.9,71.3,"Yes","Master","No"
6.7,96.4,77.6,"Yes","Doctorate","Yes"
13.5,72.8,92.9,"Yes","High School","Yes"
19.8,82.6,94.5,"Yes","Master","Yes"
3.8,92.4,74.3,"No","Master","No"
9.5,53.4,67.2,"No","Doctorate","Yes"
8,76.4,57.4,"Yes","Associate","No"
7.9,33,82.4,"No","Doctorate","No"
9.6,39.4,53.2,"No","Bachelor","Yes"
10.2,57.3,86.2,"Yes","Bachelor","No"
7.9,76.1,55.2,"No","Master","No"
6.4,77.7,73.7,"Yes","High School","Yes"
3.3,70,31.6,"Yes","High School","No"
10.7,55.7,52.4,"No","Associate","No"
6.4,68,42,"Yes","Doctorate","Yes"
6.9,48.1,62.8,"Yes","Doctorate","No"
10.8,57.8,55.4,"No","Associate","Yes"
2.3,49.6,71.6,"Yes","Doctorate","Yes"
13.4,51.9,29.6,"Yes","High School","No"
0.3,86.5,79.6,"Yes","Master","Yes"
12.1,53.9,58.9,"No","Associate","Yes"
22,94.6,84.2,"Yes","Associate","No"
5.3,60.1,38.3,"Yes","Doctorate","Yes"
4,54.9,75.8,"No","High School","No"
15.3,60.6,66,"Yes","Bachelor","No"
12.9,46.3,74.9,"Yes","Master","No"
11.4,60.8,64.7,"Yes","Doctorate","Yes"
2.6,59.4,72.7,"No","Doctorate","No"
10.4,70.1,58.2,"Yes","Bachelor","No"
5.5,71.4,58.3,"No","High School","Yes"
20.4,44,57.7,"No","Doctorate","Yes"
7.4,87.1,66.8,"Yes","Bachelor","Yes"
2.3,26.5,64.6,"No","High School","No"
5.9,81.2,44.6,"No","Associate","Yes"
11.6,75.7,75.8,"No","Bachelor","No"
6.6,90.4,74.1,"No","Associate","Yes"
8.6,68.7,48,"Yes","High School","Yes"
11.4,67,70.1,"No","High School","Yes"
11,71.4,71.6,"Yes","High School","No"
8.4,95.6,37.6,"Yes","Associate","No"
10.7,73.7,74.4,"No","Doctorate","No"
4.2,80.8,52.4,"Yes","High School","No"
7,54.1,70.8,"Yes","Doctorate","No"
8.4,79.2,74.2,"Yes","Master","Yes"
2.3,67.2,66.8,"Yes","Bachelor","Yes"
17,77.4,84.5,"No","Bachelor","Yes"
6.6,77.8,45.8,"No","High School","Yes"
14.6,40.6,75.7,"Yes","Master","No"
17.5,61.9,41.7,"Yes","Associate","No"
13.9,66.9,42,"Yes","Bachelor","Yes"
19,67.5,71.4,"Yes","Master","No"
5.2,86.4,92.7,"No","Master","Yes"
14.5,79.3,74.6,"No","Associate","No"
22,76.5,41.9,"Yes","Master","No"
13.6,49.7,81.1,"Yes","Doctorate","No"
10.9,35.4,73.3,"Yes","Bachelor","No"
8.2,89.9,49.9,"Yes","Bachelor","No"
8.1,55.4,55.7,"No","Bachelor","No"
15.4,42.8,63,"Yes","Associate","No"
11.7,62,79.3,"No","Doctorate","Yes"
12.7,64.4,62.6,"No","Doctorate","Yes"
8,76,47.8,"Yes","Master","No"
13.6,61.1,52.7,"No","Master","Yes"
12.7,95.9,60.9,"Yes","Doctorate","Yes"
10.9,84.8,77.5,"Yes","High School","No"
14.3,91.9,64.9,"Yes","Associate","Yes"
6.4,59.6,63.9,"Yes","Doctorate","Yes"
9.1,29.8,82.7,"Yes","Doctorate","No"
4.5,57.7,58.6,"No","Master","No"
2.5,77.7,42.9,"No","High School","Yes"
7.3,89.3,63.2,"No","Associate","No"
6,58.1,73.9,"Yes","Associate","Yes"
15.1,91.8,75.9,"No","Bachelor","Yes"
10.8,72.4,51.4,"Yes","High School","Yes"
14.3,75.7,69.7,"Yes","High School","Yes"
13.5,69.3,48.6,"Yes","Doctorate","Yes"
2.9,59.5,64.9,"No","Master","No"
12.9,84.7,58.5,"No","High School","No"
11.5,37.1,60.8,"No","Bachelor","Yes"
8.7,81.2,51.7,"No","Associate","Yes"
5.6,82.7,52.4,"Yes","Doctorate","Yes"
20.7,78.8,65.4,"No","Bachelor","Yes"
10.6,78.2,56.3,"No","Bachelor","No"
3.9,52.9,78.5,"No","High School","Yes"
7.4,74.9,64.3,"Yes","High School","No"
8.6,48.2,65.6,"No","High School","Yes"
22.1,94.3,68.6,"No","Doctorate","Yes"
5.6,86.8,64.5,"Yes","Associate","No"
9.4,83.6,65.8,"No","Master","Yes"
4.3,76,78.8,"Yes","High School","Yes"
9,51.6,70.1,"No","Bachelor","Yes"
8.5,71.3,56.8,"No","Associate","No"
15.9,56.6,79.8,"No","Doctorate","Yes"
8.4,64.6,54.2,"No","Associate","Yes"
7.7,58.3,53.8,"No","Associate","Yes"
10.3,80.5,50.4,"No","Doctorate","Yes"
17.2,74.9,62.8,"Yes","Doctorate","Yes"
12,81.4,63.3,"No","Master","Yes"
0.5,80.2,41,"Yes","High School","Yes"
17.7,41.1,52.2,"Yes","High School","No"
10.8,79.2,79.7,"Yes","Master","Yes"
15.3,44.3,68.2,"No","Bachelor","No"
14.5,76.3,65.6,"Yes","Master","Yes"
11.7,72.1,70.9,"No","Associate","Yes"
14.4,76.5,78.3,"No","High School","Yes"
14.2,92.3,49,"Yes","Associate","Yes"
13,70.2,41.4,"No","High School","No"
2.6,74,67.9,"Yes","Master","Yes"
10.6,88,63.9,"No","Bachelor","No"
10.8,71.1,59.1,"Yes","Doctorate","No"
1,87,50,"No","Doctorate","Yes"
12.9,56.1,77,"Yes","Doctorate","Yes"
6.6,74.1,52.9,"Yes","Associate","Yes"
17.1,75.4,84,"No","Doctorate","Yes"
15,59.6,61,"No","Associate","No"
14.3,81.9,66.2,"No","Master","No"
12,66.6,77.2,"No","Doctorate","Yes"
15.2,85.3,49.7,"No","Bachelor","No"
17.1,66.3,59.5,"No","Bachelor","Yes"
3.7,94.4,59.8,"No","Bachelor","Yes"
6.1,41.8,39.9,"No","High School","No"
2.5,55.2,62.4,"No","Associate","No"
13,95.6,81.3,"Yes","Doctorate","Yes"
9.9,61,60.1,"Yes","High School","No"
7.3,87.5,84,"Yes","High School","No"
10.7,90.9,58.1,"Yes","Bachelor","No"
15.8,60.1,77.4,"Yes","High School","Yes"
9.4,68.9,51.5,"Yes","Doctorate","Yes"
7.8,52.1,87,"No","High School","No"
12.6,64.6,80.8,"No","High School","Yes"
6.8,70.5,63.3,"No","Master","No"
15.6,84.4,64.1,"Yes","Doctorate","No"
7.6,89.5,55.9,"No","Master","No"
6.7,40.5,55.4,"No","Doctorate","No"
6.7,52.7,67,"No","Master","No"
18.4,92.1,80.2,"Yes","Doctorate","Yes"
5,65.7,54.5,"Yes","Master","Yes"
14.8,65.2,78.1,"Yes","Bachelor","Yes"
7,81.2,72,"Yes","Associate","No"
10,61.7,74.1,"Yes","Associate","No"
8.4,84.8,65.8,"No","Master","No"
16.3,72.3,74,"Yes","Doctorate","No"
11.2,81,67.9,"Yes","Master","No"
15.6,62.1,42,"No","Doctorate","No"
4.7,62.3,62.8,"Yes","Associate","No"
8.4,89.6,53,"Yes","Doctorate","No"
9.3,52.6,70.9,"Yes","Bachelor","No"
4,45.3,31.1,"Yes","High School","Yes"
14.1,84.8,64.7,"No","High School","No"
11.2,58,72.3,"No","Doctorate","No"
10,88.1,69.1,"No","Master","No"
14.3,48.6,71,"No","Doctorate","No"
8.8,75.1,41.5,"Yes","High School","No"
14,92.5,31.4,"No","Associate","No"
5,89.2,56.1,"Yes","Doctorate","Yes"
9.2,73.3,65.9,"Yes","Bachelor","Yes"
9.6,68.1,68.6,"No","Master","Yes"
11,78.7,56.4,"No","Bachelor","No"
18.7,91.1,70.2,"Yes","Associate","Yes"
10.6,65.9,66.6,"Yes","High School","Yes"
10.9,91.9,67.4,"No","Bachelor","Yes"
13.1,90.3,56.4,"No","Associate","Yes"
18.4,89.4,93.7,"Yes","Master","Yes"
10.1,58.7,76.5,"Yes","Master","No"
9.9,70.8,66.6,"No","Bachelor","No"
8.4,83.9,60.1,"No","Associate","No"
15.2,64.4,67.7,"Yes","Doctorate","No"
10.2,74.8,55.6,"Yes","Doctorate","Yes"
9.4,72.4,70.5,"No","Bachelor","Yes"
14.8,53.2,67.9,"Yes","High School","No"
15,67.6,56.8,"Yes","High School","No"
4.6,63.4,77.3,"No","High School","No"
13.2,52.5,55.5,"No","High School","Yes"
10.1,58.9,50.4,"No","High School","No"
14.4,76.1,50.8,"Yes","High School","Yes"
21.2,50.1,73.1,"Yes","Associate","No"
12.8,99,91.9,"No","High School","No"
15.5,87.3,81.3,"Yes","High School","No"
19,73.3,57.2,"No","Associate","No"
5.8,50.6,55.3,"Yes","Master","Yes"
0.7,70.7,79.2,"Yes","Doctorate","Yes"
13.3,69.5,68.4,"Yes","Doctorate","Yes"
9.6,90.3,61.7,"No","Master","No"
13.6,68.5,66.8,"No","Bachelor","Yes"
9.3,92.7,67.7,"Yes","High School","No"
0.4,84.3,43,"Yes","Bachelor","No"
9.3,98.7,72.3,"Yes","High School","No"
13.3,45.1,85,"No","Associate","No"
2.2,48.3,82.1,"Yes","Doctorate","Yes"
15.1,61.9,54.2,"No","Bachelor","No"
8,89.8,63,"Yes","Associate","No"
7.3,67,78.1,"Yes","Doctorate","Yes"
11.5,79.1,62.3,"No","Master","Yes"
5.7,85.7,56.6,"No","High School","Yes"
6.3,29.2,86,"No","High School","Yes"
4.3,81.5,56,"No","Master","No"
11.2,76.4,85.3,"Yes","Master","No"
10.8,80.5,63.7,"No","Master","Yes"
11.6,75.9,78.1,"Yes","Doctorate","Yes"
10.3,38.4,77.2,"No","High School","Yes"
13,69.6,67.1,"No","Master","No"
0,50.6,94.6,"No","Bachelor","No"
1.3,46,62.9,"Yes","High School","Yes"
10,89.6,67.5,"Yes","Bachelor","Yes"
8.3,48.5,63.4,"Yes","Master","No"
9.7,78.8,46.3,"Yes","Associate","No"
7.7,54.8,70.7,"Yes","High School","Yes"
22.3,57,50.4,"Yes","Master","No"
7.3,78.6,57.9,"No","Doctorate","No"
1.7,80.7,80,"No","Doctorate","Yes"
9.2,77.6,47.6,"Yes","Bachelor","No"
13.7,82,66,"No","Bachelor","No"
14.3,61.5,65.1,"No","High School","Yes"
7.7,69.6,61.5,"No","Bachelor","Yes"
13.4,42.1,70.2,"No","Doctorate","Yes"
7,31.9,67.8,"No","Doctorate","No"
9.2,67.8,91.2,"Yes","High School","No"
12.6,91,48.7,"Yes","Associate","Yes"
12.1,57.6,89.2,"Yes","Doctorate","No"
13.2,77.2,65.4,"Yes","Associate","Yes"
2.2,97.1,37.7,"No","Master","No"
7.1,53,28.8,"No","High School","Yes"
8.4,65.2,56.5,"No","Associate","No"
5.8,47.4,75.3,"No","High School","No"
12.1,91.7,78.7,"Yes","Bachelor","Yes"
15.9,79.1,51.5,"No","Master","Yes"
16.7,98.4,55.5,"Yes","Master","Yes"
8.3,91.9,83,"Yes","High School","No"
11.5,69.8,41.2,"Yes","Associate","Yes"
12.2,83.2,53.2,"Yes","Associate","No"
13.1,83.4,74.9,"Yes","Doctorate","Yes"
5.6,89.7,53.5,"Yes","Doctorate","No"
14.8,37.5,56.1,"Yes","High School","No"
16,54,50.5,"No","Associate","Yes"
12.1,58.3,71.5,"No","Bachelor","Yes"
9.8,61.1,88.2,"Yes","Bachelor","No"
8.7,89.5,76.8,"Yes","Master","Yes"
2.4,78.2,59.5,"Yes","Doctorate","No"
7.1,40.4,71.3,"No","Master","Yes"
14.3,80.2,58.9,"No","Bachelor","No"
12.2,49.2,59.8,"No","Associate","Yes"
7,66.9,43.9,"Yes","Master","No"
10.2,78.4,76.2,"No","Bachelor","Yes"
10,84.6,60.6,"No","High School","Yes"
19.2,57.3,58.9,"No","High School","No"
10.8,50.1,72.6,"Yes","Bachelor","Yes"
5.1,51.7,34.8,"No","Bachelor","No"
11.8,89.3,37.2,"No","Bachelor","No"
7.4,44.8,28.4,"No","High School","Yes"
11.7,79.1,88.2,"No","Master","Yes"
10.5,64.3,59.9,"Yes","Bachelor","No"
7.9,42,81.8,"Yes","Doctorate","No"
14.8,63.7,57.8,"Yes","Associate","Yes"
7.7,66.3,57.7,"Yes","Master","No"
8,83.5,42,"No","High School","No"
6.5,97.7,69.8,"Yes","Doctorate","No"
4,92.1,89.1,"No","High School","Yes"
1.9,81.7,68.2,"No","Bachelor","No"
12,75.6,27,"Yes","Associate","No"
12.8,54.2,49.9,"No","Doctorate","Yes"
5.2,54.6,64.9,"Yes","Bachelor","Yes"
4,71,58.1,"No","High School","No"
10.3,88.5,55.3,"Yes","Bachelor","Yes"
18.6,44.1,45.9,"No","High School","No"
19.9,65.1,83.4,"No","Master","Yes"
16.3,83.9,52.7,"No","Bachelor","No"
18.5,73.3,71.9,"Yes","Doctorate","No"
1.7,69.1,56.3,"Yes","High School","No"
8.5,45.2,67,"Yes","Bachelor","No"
7.9,58.5,85.3,"No","Doctorate","No"
6,70.2,86.4,"No","Master","No"
6.5,98.8,65.7,"No","Master","Yes"
18.7,92.5,52.4,"Yes","Bachelor","No"
6.7,57.2,41.8,"Yes","Doctorate","No"
10.1,90.3,52.4,"Yes","Bachelor","Yes"
16.4,79.7,66.9,"Yes","Bachelor","Yes"
1.7,66,71.8,"No","High School","No"
11.5,81.4,71,"No","Doctorate","Yes"
8.6,64.9,85.8,"Yes","Associate","Yes"
10.6,67.2,70.2,"No","High School","No"
3.1,87,77.9,"No","High School","No"
2.2,81.6,54.3,"No","Master","No"
2.3,51.7,79.8,"No","Associate","Yes"
13.3,61.3,54.3,"No","Doctorate","No"
2.5,92,67.2,"No","Doctorate","No"
6.7,88.2,77.4,"No","Doctorate","No"
0.7,57.8,68.4,"No","Bachelor","Yes"
12,82.2,47.4,"No","High School","Yes"
6.9,78.4,60.1,"Yes","Doctorate","Yes"
9.5,63.8,55.9,"No","Associate","No"
10.2,71.1,55.4,"Yes","Associate","Yes"
7.9,69.1,67.9,"No","Bachelor","No"
11.7,97.1,66.3,"No","High School","No"
